Feature,Mean_SHAP,SHAP_Rank
SYN Flag Count,2.3802313785864273,1
Protocol,1.2995892376538918,2
ACK Flag Count,1.2076304357066185,3
Packet Length Max,0.9805754903990301,4
Fwd_Bwd_Pkt_Ratio,0.9126744057174282,5
Avg Packet Size,0.9058574832376918,6
Flow Packets/s,0.78498304587507,7
Total Fwd Packets,0.7733225680302855,8
Bwd Packets/s,0.7009804434499297,9
Fwd Packets/s,0.6663244059347487,10
Init Bwd Win Bytes,0.6278575408839665,11
Down/Up Ratio,0.6063952096020148,12
Flow Bytes/s,0.5512334170069412,13
Fwd_Bwd_Byte_Ratio,0.5301509851874514,14
RST Flag Count,0.50855469792613,15
Fwd Packet Length Max,0.49324734280165755,16
Fwd IAT Total,0.4156160105993392,17
Bwd Packets Length Total,0.4132355591400153,18
Packet Length Mean,0.3800605521528518,19
Fwd Packets Length Total,0.37534587978673156,20
Fwd IAT Mean,0.33789517761309473,21
Flow IAT Min,0.3274228181590182,22
Packet Length Std,0.32736386891964114,23
Total Backward Packets,0.3117378255941533,24
Idle Mean,0.3042170680339996,25
Flow IAT Std,0.28124813244479563,26
Packet Length Variance,0.27750524903261686,27
Bwd Packet Length Std,0.268152445860788,28
Bwd Packet Length Max,0.2646199074606885,29
Fwd IAT Max,0.2505708623475443,30
Bwd IAT Total,0.24074053251050345,31
Flow Duration,0.23955484360169685,32
Flow IAT Mean,0.233214023475607,33
Flow IAT Max,0.2209272790912832,34
Fwd Packet Length Std,0.2202951386922238,35
Bwd IAT Mean,0.17810888300797895,36
Bwd IAT Max,0.17183162691880774,37
Active Mean,0.16784758013550058,38
Fwd IAT Std,0.16108844116170853,39
FIN Flag Count,0.09637839798419273,40
Bwd IAT Std,0.09259720734787798,41
PSH Flag Count,0.013641146513369921,42
